Financingscheme,Function,Measure,Country,Year,Value in %
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Latvia,2013,3.246
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Latvia,2014,3.26
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Latvia,2015,3.315
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Latvia,2016,3.426
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Latvia,2017,3.42
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Latvia,2018,3.706
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Latvia,2019,3.981
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Latvia,2020,4.737
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Iceland,2010,6.678
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Iceland,2011,6.563
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Iceland,2012,6.538
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Iceland,2013,6.559
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Iceland,2014,6.624
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Iceland,2015,6.521
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Iceland,2016,6.6
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Iceland,2017,6.763
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Iceland,2018,6.901
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Iceland,2019,7.048
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Iceland,2020,7.928
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Iceland,2021,8.06
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,United States,2010,7.889
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,United States,2011,7.876
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,United States,2012,7.853
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,United States,2013,7.907
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,United States,2014,13.372
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,United States,2015,13.664
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,United States,2016,13.912
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,United States,2017,13.89
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,United States,2018,13.796
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,United States,2019,13.813
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,United States,2020,15.949
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Poland,2010,4.596
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Poland,2011,4.423
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Poland,2012,4.359
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Poland,2013,4.533
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Poland,2014,4.437
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Poland,2015,4.46
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Poland,2016,4.53
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Poland,2017,4.545
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Poland,2018,4.524
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Poland,2019,4.627
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Poland,2020,4.692
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Poland,2021,4.785
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Germany,2010,9.236
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Germany,2011,8.958
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Germany,2012,9.006
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Germany,2013,9.221
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Germany,2014,9.281
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Germany,2015,9.414
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Germany,2016,9.473
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Germany,2017,9.554
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Germany,2018,9.638
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Germany,2019,9.827
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Germany,2020,10.911
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Germany,2021,11.016
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Canada,2010,7.483
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Canada,2011,7.31
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Canada,2012,7.41
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Canada,2013,7.368
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Canada,2014,7.241
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Canada,2015,7.591
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Canada,2016,7.688
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Canada,2017,7.574
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Canada,2018,7.577
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Canada,2019,7.641
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Canada,2020,9.701
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Canada,2021,8.695
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,France,2010,8.561
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,France,2011,8.501
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,France,2012,8.596
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,France,2013,9.345
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,France,2014,9.479
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,France,2015,9.438
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,France,2016,9.521
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,France,2017,9.43
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,France,2018,9.345
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,France,2019,9.273
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,France,2020,10.338
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Slovak Republic,2010,5.535
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Slovak Republic,2011,5.408
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Slovak Republic,2012,5.46
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Slovak Republic,2013,5.582
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Slovak Republic,2014,5.542
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Slovak Republic,2015,5.407
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Slovak Republic,2016,5.621
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Slovak Republic,2017,5.416
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Slovak Republic,2018,5.369
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Slovak Republic,2019,5.544
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Slovak Republic,2020,5.805
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Slovenia,2010,6.288
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Slovenia,2011,6.268
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Slovenia,2012,6.271
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Slovenia,2013,6.238
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Slovenia,2014,6.046
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Slovenia,2015,6.116
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Slovenia,2016,6.166
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Slovenia,2017,5.909
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Slovenia,2018,6.029
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Slovenia,2019,6.204
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Slovenia,2020,6.917
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Slovenia,2021,6.828
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Finland,2010,7.047
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Finland,2011,7.158
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Finland,2012,7.495
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Finland,2013,7.643
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Finland,2014,7.631
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Finland,2015,7.421
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Finland,2016,7.148
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Finland,2017,6.974
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Finland,2018,6.959
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Finland,2019,7.142
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Finland,2020,7.6
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,New Zealand,2010,7.787
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,New Zealand,2011,7.7
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,New Zealand,2012,7.769
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,New Zealand,2013,7.493
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,New Zealand,2014,7.48
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,New Zealand,2015,7.333
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,New Zealand,2016,7.271
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,New Zealand,2017,7.047
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,New Zealand,2018,7.158
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,New Zealand,2019,7.206
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,New Zealand,2020,7.785
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Costa Rica,2010,5.871
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Costa Rica,2011,5.919
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Costa Rica,2012,5.766
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Costa Rica,2013,5.751
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Costa Rica,2014,5.59
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Costa Rica,2015,5.682
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Costa Rica,2016,5.494
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Costa Rica,2017,5.282
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Costa Rica,2018,5.379
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Costa Rica,2019,5.339
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Costa Rica,2020,5.954
